SEDE_ATENCION|DISTRITO_ATENCION|PROVINCIA_ATENCION|DEPARTAMENTO_ATENCION|SEXO|EDAD|PROVINCIA_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD|ANIO_TRAMITE|MES_TRAMITE|TIPO_TRAMITE|CANTIDAD|FECHA_PROCESO
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|BOLIVIANA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|2|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|BRASILERA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|COLOMBIANA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|CUBANA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|2|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|DOMINICANA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|ESTADOUNIDENSE|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|POLACA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|RUSA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|VENEZOLANA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|46|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|AREQUIPA|AREQUIPA|VENEZOLANA|2025|FEBRERO|ACTUALIZACIÓN CON EMISIÓN DE DOCUMENTO|5|2025-10-14
